Title,Status,Graphics,Setting,Subscription model,Initial release date,Discontinued date,Distribution,Notes
Digimon Masters,Active,3D,Fantasy,Freemium,2009,[null],Steam,[null]
Dofus,[null],2D (isometric),Fantasy,Freemium,2004,[null],[null],Downloadable client (Windows  Mac  Linux) Tactical combat
Dragon Ball Online,[null],3D,Fantasy,Free-to-play,2010,[null],[null],Downloadable client (Windows  Mac  Linux) Tactical combat
Dragon Nest,Active,3D,Fantasy,Freemium,2010,[null],[null],Manual aim action combat
Dragon Oath,[null],3D,Mythology (Chinese),Free-to-play,2007,[null],[null],Based on the novel Demi-Gods and Semi-Devils by Jin Yong
Dragon Quest X,[null],3D,Fantasy,Pay-to-play,2012,[null],[null],Multiplatform: Wii  Wii U
Dragonica,Varies,3D,Fantasy,Freemium,2009,Varies,[null],Servers in most regions were closed in 2010 or 2011  but US servers remain active under the name Dragon Saga
Dragon's Prophet,[null],3D,Fantasy,Free-to-play,2013,2015 in the US  still running in Europe,[null],Capture  train and ride dragons  fight with them
Drakensang Online,[null],3D,Fantasy,Freemium,2012,[null],[null],Uses downloadable client and launcher
Dungeons & Dragons Online,Active,3D,Fantasy,Freemium,2006,[null],Steam,D&D 3.5 Edition ruleset
Dynasty Warriors Online,[null],3D,Historical fantasy (China)  martial arts,Free-to-play,2006,[null],[null],Hack and slash
Earth and Beyond,[null],3D,Science fiction,Pay-to-play,2002-09-24,2004-09-22,[null],Space vehicle piloting  trading  leveling
Echo of Soul,[null],3D,Fantasy,Free-to-play,2013,[null],[null],[null]
The Elder Scrolls Online,Active,3D,Medieval fantasy,Buy-to-play with optional subscription model,2014,[null],Steam,Manual aim action combat. Formerly a subscription based  but changed to buy-to-play on March 17  2015.
Elsword,Active,2D (isometric),Fantasy,Free-to-play,2007,[null],[null],Potential sequel to GC
Emil Chronicle Online,[null],3D,Fantasy,Freemium,2005,2010,[null],[null]
Empire of Sports,[null],3D,Modern sports,Free-to-play,2008,April 2016,[null],Sports-based
Empire & State,[null],2D,Science fiction,Free-to-play,2011,[null],[null],Browser-based political strategy MMORPG
Entropia Universe,[null],3D,Science fiction,Free-to-play,2003,[null],[null],[null]
Eternal Lands,[null],3D,Fantasy,Freemium,2003,[null],[null],Downloadable client (Windows  Mac  Linux)
EVE Online,Active,3D,Science fiction,Freemium,2003,[null],Steam,Space vehicle piloting  trading  and business management
EverQuest,Active,3D,Fantasy,Freemium,1999,[null],Steam,Formerly pay-to-play
EverQuest II,Active,3D,Fantasy,Freemium,2004,[null],Steam,Sequel to EverQuest
EverQuest Next,Cancelled,3D,Fantasy,[null],[null],[null],[null],Active  open world  Multiplatform: PC  PlayStation 4. Cancelled as of 2016
Face of Mankind,[null],3D,Science fiction,Freemium,2009,2015-09-03,[null],[null]
Fallen Earth,[null],3D,Post-apocalyptic,Freemium,2009,2019-10-14,[null],[null]
Fantage,Closed,2D,Fantasy,Freemium,2008,2018-06-30,[null],Browser-based
Fantasy Earth Zero,Closed,3D,Fantasy,Free-to-play,2006,2013,[null],50vs50 PvP-oriented gameplay
Fantasy Westward Journey,[null],2D,Fantasy (Chinese),Free-to-play,2004,[null],[null],Inspired by Journey to the West
Fiesta Online,[null],3D,Fantasy,Free-to-play,2007,[null],[null],[null]
Final Fantasy XI,Active,3D,Fantasy,Pay-to-play,2002,[null],[null],Multiplatform: PC  PlayStation 2  Xbox 360
Final Fantasy XIV: A Realm Reborn,Active,3D,Fantasy,Pay-to-play,2013,[null],Steam,Relaunch of Final Fantasy XIV. Now known as Final Fantasy XIV: Shadowbringers with latest expansion. Multiplatform: PC  PlayStation 3  PlayStation 4
Firefall,Closed,3D,Science fiction,Free-to-play,2014,2017-07-07,[null],First-person/third-person shooter
Flyff,Active,3D,Fantasy,Freemium,2005,[null],[null],[null]
Fragoria,[null],3D,Fantasy,Freemium,2011,[null],[null],Browser-based
Free Realms,Closed,3D,Fantasy,Free-to-play,2009-04-28,2014-03-31,[null],[null]
Gekkeiju Online,[null],3D,Medieval fantasy,Free-to-play,2003,[null],[null],Anime-based. New version in 2010 with ""Occulus Rift"" support
GodsWar Online,[null],3D,Mythology (Greek),Free-to-play,2009,[null],[null],[null]
Granado Espada,[null],3D,Historical fantasy (Age of Exploration),Pay-to-play,2007,[null],[null],[null]
Grand Chase,Closed,2D,Fantasy,Free-to-play,2003,2015-04-15,[null],Client download required
Guild Wars,Active,3D,Fantasy,Buy-to-Play,2005,[null],Steam,[null]
Guild Wars 2,Active,3D,Fantasy,Free-to-play / Buy-to-play,2012,[null],Launcher,Manual aim action combat (guided  optional); Sequel to Guild Wars
Hello Kitty Online,[null],3D,Cartoon,Free-to-play,2009,[null],[null],Client download required.
Hero Online,[null],3D,Mythology (Chinese),Free-to-play,2006,[null],[null],[null]
Identity,[null],3D,Fantasy,N/A,N/A,[null],[null],[null]
Illyriad,Active,2D,Fantasy,Free-to-play,2011,[null],[null],Browser Based
Infantry Online,[null],2D,Science Fiction,Free-to-play,1999,[null],[null],[null]
Istaria: Chronicles of the Gifted,[null],3D,Fantasy,Free-to-play / Pay-to-play,2003,[null],[null],Name changed from Horizons
Jade Dynasty,[null],3D,Fantasy  martial arts,Freemium,2008,[null],[null],Latest expansion in 2013
Kal Online,[null],3D,Fantasy,Freemium,2004,[null],[null],[null]
Knight Online,Active,3D,Fantasy,Free-to-play,2004,[null],Steam,[null]
LaTale,[null],2D (side-scrolling),Fantasy,Freemium,2009,2010,[null],[null]
The Legend of Ares,[null],3D,Fantasy,Free-to-play,2007,2009-05,[null],[null]
The Legend of Mir 2,[null],2D (sprite-based),Fantasy,Free-to-play,2001,[null],[null],[null]
The Legend of Mir 3,[null],2D (sprite-based),Fantasy,Pay-to-play,2004,[null],[null],Sequel to The Legend of Mir 2
Lineage,Closed,2D (sprite-based),Fantasy,Pay-to-play,1998,2011,[null],North American servers shut down on June 29  2011.
Lineage II,Active,3D,Fantasy,Freemium,2003,[null],[null],Sequel to Lineage  formerly pay-to-play until the 2011 expansion
Lineage III,Development,3D,Fantasy,[null],TBA,[null],[null],Sequel to Lineage II
Little Space Heroes,[null],2D,Kids,Freemium,2011,2015,[null],[null]
The Lord of the Rings Online,Active,3D,Fantasy,Freemium,2007,[null],Steam,[null]
Love,[null],3D,Fantasy,Free-to-play,2010,[null],[null],Builder
Mabinogi,Active,3D,Fantasy  mythology (Welsh),Free-to-play,2004,[null],Steam,[null]
MapleStory,Active,2D (side-scrolling),Fantasy,Free-to-play,2003,[null],[null],[null]
MapleStory 2,Active,3D,Fantasy,Free-to-play,2015,[null],[null],Sequel to MapleStory
Marvel Heroes,[null],3D,Superheroes,Free-to-play,2013,2017-11-27,[null],[null]
Matrix Online,[null],3D,Science fiction,Pay-to-play,2005-03-22,2009-07-31,[null],[null]
Meridian 59,[null],3D,Fantasy,Free-to-play,1995,[null],[null],Formerly pay-to-play
Metin 2,[null],3D,Fantasy,Freemium,2004,[null],[null],[null]
Minions of Mirth,[null],3D,Fantasy,Freemium,2005,[null],[null],[null]
MonsterMMORPG,[null],2D,Fantasy,Free-to-play,2009,[null],[null],Browser-based
Mortal Online,Active,3D,Fantasy,Free-to-play,2010,[null],Steam,Formerly pay-to-play
MU Online,Active,3D,Medieval fantasy,Free-to-play,2003,[null],[null],[null]
Myst Online,[null],3D,Ancient Fantasy,Free-to-play,2007,[null],[null],Open source; formerly pay-to-play
Mythos,[null],3D,Fantasy,Free-to-play,2011,2014-01-22,[null],[null]
Neocron,[null],3D,Cyberpunk,Free-to-play,2002,[null],[null],FPS-style gameplay  second installment run by the game's community
Neverwinter,Active,3D,Fantasy,Freemium,2013,[null],Steam,Manual aim action combat
New World,Development,3D,Fantasy,Buy-To-Play,May 2020,[null],[null],[added]
Nexus: The Kingdom of the Winds,[null],2D (sprite-based; overhead),Mythology (Korean),Pay-to-play,1996,[null],[null],[null]
Omerta,Active,Text,Mafia,Free-to-play,2003,[null],[null],[null]
Pantheon: Rise of the Fallen,Development,3D,Fantasy,[null],[null],[null],[null],Spiritual successor to the original EverQuest
Parallel Kingdom,[null],3D,Fantasy,Freemium,2008,[null],[null],[null]
Pardus,[null],2D,Science fiction,Free-to-play,2004,[null],[null],Browser-based  space war and trading game
Perfect World,Active,3D,Fantasy (Chinese),Freemium,2005,[null],[null],Latest expansion in 2013
Perpetuum[4][5],Closed,3D,Science fiction,Buy-to-play,2010,[null],[null],Persistent sandbox MMORPG. Formerly a subscription[6]
Phantasy Star Online 2,[null],3D,Science Fiction,Freemium,2012,[null],[null],[null]
Phoenix Dynasty Online,Closed,2D,Fantasy,Free-to-play,2007,2010-12-08,[null],[null]
Pirate101,Active,3D,Fantasy  kids,Freemium,2012,[null],[null],Pirate game  kid-safe chat
Pirates of the Burning Sea,[null],3D,Historical (maritime),Free-to-play,2008,[null],[null],[null]
Pirates of the Caribbean Online,Closed,3D,Adventure,Free-to-play,2007,2013-09-01,[null],[null]
PlaneShift,[null],3D,Fantasy,Free-to-play,2000,[null],[null],Open source
Poptropica,Active,2D (side-scrolling),Cartoon  kids,Freemium,2007,[null],[null],Browser-based  no downloadable client required
Priston Tale,[null],3D,Fantasy,Freemium,2001,[null],[null],[null]
Priston Tale 2,[null],3D,Fantasy,Freemium,2008,2013,[null],[null]
Puppet Guardian,[null],2D (isometric; adventure),Fantasy,Free-to-play,2007,[null],[null],[null]
Puzzle Pirates,[null],2D,Fantasy,Free-to-play,2003,[null],[null],[null]
Ragnarok Online,Active,2D/3D[7],Fantasy  mythology (Norse/mixed),Freemium/Pay-to-play (Depending on the server),2002,[null],Steam,[null]
Ragnarok Online 2,Active,3D,Fantasy,Free-to-play,2012,[null],Steam,Sequel to Ragnarok Online
Ran Online,[null],3D,Campus fantasy,Freemium,2004,[null],[null],[null]
Realm of the Mad God,Active,2D,Fantasy,Free-to-play,2011,[null],Steam,Browser-based
The Realm Online,[null],2D (sprite-based),Fantasy,Pay-to-play,1996,[null],[null],[null]
Red Stone,[null],2D,Fantasy,Free-to-play,2004,[null],[null],[null]
Regnum Online,[null],3D,Medieval fantasy,Freemium,2007,[null],[null],[null]
Requiem: Memento Mori,[null],3D,Dark fantasy,Free-to-play,2008,[null],[null],[null]
RF Online,[null],3D,Science fiction,Pay-to-play,2006,[null],[null],[null]
Rift,Active,3D,Fantasy,Free-to-play,2011,[null],Steam,Formerly pay-to-play
Rohan: Blood Feud,[null],3D,Fantasy,Freemium,2008,[null],[null],[null]
ROSE Online,[null],3D,Fantasy,Freemium,2005,[null],[null],[null]
Rubies of Eventide,[null],3D,Medieval fantasy,Free-to-play,2003,2009,[null],[null]
Runes of Magic,[null],3D,Medieval fantasy,Freemium,2009,[null],[null],[null]
RuneScape,Active,3D,Medieval fantasy,Freemium with subscription model,2001,[null],Standalone,Browser-based  Java and HTML 5. Optional membership will unlock more skills and quests. Currently 2 separate games  RuneScape 3 ("current" game) and Oldschool RuneScape (game as it was circa 2007).
Rusty Hearts,[null],3D,Fantasy,Free-to-play,2011,2014,[null],Hack and slash
Ryzom,Active,3D,Science fantasy,Freemium,2004,[null],Steam,Free-to-play (up to level 125)  pay-to-play (to max level). Open source
Salem,Active,3D,Historical (17th century) fantasy,Free-to-play,2012,[null],Standalone,Crafting-based
Sangokushi Online,[null],3D,Historical (Chinese),Pay-to-play,2008,2010-07-19,[null],Part of the Romance of the Three Kingdoms series by Koei
Scions of Fate or Yulgang,[null],3D,Fantasy,Free-to-play,2005,[null],[null],[null]
Seal Online,[null],3D,Fantasy,Freemium,2003,[null],[null],[null]
The Secret World,[null],3D,Modern,Buy-to-play,2012,[null],Steam,Formerly pay-to-play
Shadowbane,[null],3D,Fantasy,Pay-to-play,2003-03-25,2009-07-01,[null],Switched to "free-to-play" in March 15  2006  supported by ads
Shin Megami Tensei: Imagine,[null],3D,Fantasy,Free-to-play,2007,[null],[null],[null]
Shot-Online,[null],3D,Sports (golf),Freemium,2004,[null],[null],[null]
Shroud of the Avatar: Forsaken Virtues,[null],3D,Fantasy,Buy-to-play,2018,[null],[null],Spiritual successor to the Ultima series
Silkroad Online,Active,3D,Fantasy,Free-to-play,2005,[null],[null],[null]
Skyforge,Active,3D,Fantasy (Mythic/Sci-fi),Freemium,2015,[null],[null],Russian-based developers. Manual aim action combat
Soul of the Ultimate Nation,Closed,3D,Fantasy,Pay-to-play,2007,2013-07-03,[null],[null]
Spiral Knights,Active,3D,Fantasy,Freemium,2009,[null],[null],Java
StarQuest Online,Closed,3D,Science fiction,Free-to-play,2007,2014,[null],Downloadable client (Windows)
Star Trek Online,[null],3D,Science fiction,Freemium,2010,[null],[null],Switched to "free-to-play" in January 17  2012
Star Wars Galaxies,Closed,3D,Science fiction,Pay-to-play,2003-06-26,2011-12-15,[null],The first Star Wars MMORPG used a "sandbox" approach with a totally player-driven economy
Star Wars: The Old Republic,Active,3D,Science fiction,Freemium,2011,[null],Standalone,Spiritual sequel of 2003's Game of the year Star Wars: Knights of the Old Republic  formerly pay-to-play
Stellar Dawn,Development paused,3D,Science fiction,[null],[null],[null],[null],Development started back in 2006 as Mechscape  which was scrapped in 2009. In 2010 Stellar Dawn was announced  though in March 2012 the development was paused so the developer  Jagex  could focus on their other games.
Tabula Rasa,Closed,3D,Science Fiction,Pay-to-play,2007,2009,[null],[null]
A Tale in the Desert,Active,3D,Mythology (Egyptian),Pay-to-play,2003,[null],Standalone,Non-combat-oriented RPG
Tales of Pirates,Closed,3D,Fantasy (Maritime),Free-to-play,2007,2016-29-02,[null],During 2010 server data was transferred to a revamped client called Tales of Pirates II
TERA: Rising,Active,3D,Fantasy,Freemium,2011,[null],Steam,Manual aim action combat (True Action combat)
Terra,[null],3D,Science fiction,Free-to-play,1996,[null],[null],[null]
Tibia,Active,2D (sprite-based; overhead),Fantasy,Free-to-play,1997,[null],[null],Downloadable client (Windows  Linux).
Toontown Online,Closed,3D,Fantasy  Cartoon,Freemium,2003,2013-09-19,[null],MMORPG designed for families to play  mostly targeted towards children.
Toontown Rewritten,Active,3D,Fantasy  Cartoon,Free-to-play,2014,[null],Standalone,MMORPG designed for families to play  mostly targeted towards children. Fan-made revival of Toontown Online  created using publicly available downloads and information made freely available to the general public.
Trove,Active,3D,Fantasy  Cartoon,Freemium,2013,[null],[null],[null]
Twelve Sky,[null],3D,Fantasy,Free-to-play,2007,[null],[null],[null]
Twelve Sky 2,[null],3D,Fantasy,Free-to-play,2008,[null],[null],[null]
Ultima Online,Active,2D/3D,Medieval fantasy,Subscription,1997,[null],[null],The term MMORPG was first coined by Ultima Online creator Richard Garriott in 1997.[8]
Uncharted Waters Online,[null],3D,Historical (maritime),Free-to-play (on international server),2005,[null],[null],[null]
Underlight,[null],3D,Fantasy (Dream),Free-to-play,1998,[null],[null],Original servers were shut down in December 2006. Re-launched in September 2014 by KoiWare.
Vanguard: Saga of Heroes,Closed,3D,Fantasy,Pay-to-play,2007-01-30,2014-07-31,[null],[null]
Vendetta Online,[null],3D,Science fiction,Pay-to-play,2004,[null],[null],Space vehicle piloting and twitch-based interface
Vindictus,Active,3D,Fantasy (Celtic),Free-to-play,2010,[null],Steam,Manual aim action combat
Voyage Century Online,[null],3D,Historical (maritime),Free-to-play,2006,[null],[null],[null]
Wakfu,[null],2D (isometric),Fantasy,Freemium,2012,[null],[null],Downloadable client (Windows  Mac  Linux). Tactical combat.
Warhammer Online: Age of Reckoning,Closed,3D,Fantasy,Freemium,2008,2013-12-18,[null],[null]
WildStar,Closed,3D,Fantasy  Science fiction,Free-to-play,2014,2018-11-28,[null],Manual aim action combat (telegraphed). Became Free-to-play on September 29  2015
With Your Destiny,[null],3D,Fantasy (Scandinavian),Free-to-play,2003,[null],[null],[null]
Wizard101,Active,3D,Fantasy  kids,Freemium,2008,[null],[null],Wizard game with cards  kid-safe chat
Wizardry Online,[null],3D,Fantasy,Freemium,2013,2014,[null],Based on Wizardry series
WonderKing Online,[null],2D (side-scrolling),Fantasy,Free-to-play,2006,[null],[null],[null]
Wonderland Online,Closed,2D (special),Fantasy,Free-to-play,2008  March,[null],[null],Anime/Manga based
World of the Living Dead,[null],2D,Survival Strategy,Free-to-play,2014,2014,[null],Map-Based Survival Game with PvP  Factions  Customization  Upgrades & Crafting. Defunct 2014
World of Warcraft,Active,3D,Fantasy,Pay-to-play,2004,[null],Launcher,Free-to-play until level 20
Wurm Online,Active,3D,Medieval fantasy,Freemium,2006,[null],[null],Sandbox game with hundreds of skills  multiple kingdoms  and a deep crafting system.
Xsyon,[null],3D,Apocalyptic Fantasy,Buy-to-play[9][10],2011,[null],[null],Apocalyptic Fantasy Sandbox MMORPG - Currently in the Prelude phase.
Zhengtu,[null],2D,Mythology (Chinese),Freemium,2008,[null],[null],[null]
