Language,Intended use,Imperative,Object-oriented,Functional,Procedural,Generic,Reflective,Event-driven,Other paradigm(s),Standardized?
Scheme,Education  general,[null],[null],Yes,[null],[null],[null],[null],extensible syntax,1998  R6RS
Seed7,Application  general  scripting  web,Yes,Yes,[null],[null],Yes,Yes,[null],multi-paradigm  extensible  structured,No
Simula,Education  general,Yes,Yes,[null],[null],[null],[null],Yes,discrete event simulation  multi-threaded (quasi-parallel) program execution,1968
Small Basic,Application  education  games,Yes,[null],[null],[null],[null],[null],Yes,component-oriented,No
Smalltalk,Application  general  business  artificial intelligence  education  web,Yes,Yes,Yes,Yes,[null],Yes,Yes,concurrent  declarative,1998  [ANSI
SNOBOL,Text processing,[null],[null],[null],[null],[null],[null],[null],[null],Unknown
Standard ML,Application,Yes,[null],Yes,[null],Yes,[null],[null],[null],1997  SML '97[40]
Swift,Application  general,Yes,Yes,Yes,Yes,Yes,Yes,Yes,concurrent  Multi-paradigm,No
Tcl,Application  scripting  web,Yes,Yes,Yes,Yes,[null],Yes,Yes,[null],No
Visual Basic,Application  RAD  education  business  general  (Includes VBA)  office automation,Yes,Yes,[null],[null],Yes,[null],Yes,component-oriented,No
Visual Basic .NET,Application  RAD  education  web  business  general,Yes,Yes,Yes,Yes,Yes,Yes,Yes,structured  concurrent,No
Visual FoxPro,Application,[null],Yes,[null],[null],[null],[null],[null],data-centric  logic,No
Visual Prolog,Application,Yes,Yes,Yes,[null],[null],[null],Yes,declarative  logic,No
Wolfram Language,Symbolic language,Yes,Yes,Yes,Yes,[null],[null],[null],logic  distributed,No
XL,[null],Yes,Yes,[null],[null],[null],[null],[null],concept programming,No
Xojo,Application  RAD  general  web,Yes,Yes,[null],Yes,[null],Yes,Yes,[null],No
XPath/XQuery,Databases  data processing  scripting,[null],[null],Yes,[null],[null],[null],[null],tree-oriented,W3C 1999 XPath 1  2010 XQuery 1  2014 XPath/XQuery 3.0
Zsh,Shell  scripting,Yes,[null],[null],Yes,[null],[null],[null],loadable modules,No
