Meaning,Spanish,Portuguese,Notes
sour cherry,cereza gordal < Lat. cerasium + gurdus,ginja < Frankish wīhsina,[null]
stepchild,hijastro(a) < Lat. filiaster,enteado(a) < Lat. ante + natum,[null]
step-brother,hermanastro(a) < Lat. + suffix germanus + astro,meio-irmã(o) < Lat. medius + germānus,[null]
stump  amputated limb,muñón < Pre-Roman/Basque muno,coto < Celtic-Goidelic cotach < cuid,[null]
baby changing (area),cambiador (infantil) < Lat + dor cambium,fraldário < Gothic + arius faldan,[null]
blade,hoja < Lat. folium,lâmina < Lat. lammĭna,[null]
butcher(s)(shop),carniceria < Lat. carniceus,talho < Lat. taleare,Brazilian Port. uses açougue
shoe polish,betún < Lat. bitūmen,graxa < Lat. crassus,[null]
shaving,afeitar < Lat. affectāre,barbear < Lat. barba + ear,[null]
pocket knife,navaja < Lat. novacŭla,canivete < Old Fr. canivet < Frankish 'knif'[11],Portuguese 'navalha' means razor.
diving,buceo < Port. búzio < Lat. bucĭna,mergulho < Lat. merguliāre,[null]
bait,cebo < Lat. cibus,isca < Lat. escae,[null]
skirt,falda < Germanic faldan,saia < Lat. sagum < Celtic sagos  sag,[null]
glasses,gafas < Uncertain  maybe Arabic qafca[12],óculos < Lat. oculus,[null]
stiffness (muscular),agujetas < Lat. acus + suffix eta,dor muscular < Lat. dolor + mus +culus,[null]
operating theatre,quirófano < Gr. χείρ + φαίνω,sala de operações  sala de cirurgia  bloco operatório < Ger + Lat. sal + operatio  < Ger + Gr. sal + χειρουργική  < Ger + Lat. bluk(k)an + operatio,[null]
stem cell research,investigación con células madre < Lat. vestigium + cum + cellula + mater,pesquisa de células estaminais < Lat. perquirere + de + cellula + staminis,Brazilian Por. uses pesquisa de células tronco
stream  creek,arroyuelo < Pre-Roman arrugia,ribeira  ribeiro < Lat. riparius < ripae,[null]
stubborn,terco or testarudo < Lat. testa + rudis,teimoso < Lat. thema  < Gr. théma,[null]
plateau,meseta < Lat. mensa + Sp. suffix eta,planalto < Lat. planus + altus,[null]
wave,ola < Uncertain origin,vaga < Gothic vega[13] or < Old Norse vágr [14] both from Ancient Germanic 'vigan' to shake,Both in Brazilian Por. and European Por. onda is used
broom,aulaga < Ar. algawláqa,vassoura  giesta  carqueja < Lat. verrere  < Lat. genista  < Maybe Lat. quercus,[null]
pants  knickers,bragas < Lat. braca < Celtic bracae,cuecas < Lat. culus + suffix 'ecas',[null]
(bed) sheet,sábana < Lat. sabăna,lençol < Lat. linteolum,[null]
basketball,baloncesto < Frankish balla + Lat. cista,basquetebol < Eng. basketball,[null]
reporter,periodista  periodicista < periódico+ suffix 'ista',repórter < Eng. reporter < Medieval Fr. reporteur,Spanish also has reportero
ricochet,rebote < Frankish + Lat. prefix boter,ricochete < Fr. ricochet,[null]
riff-raff  mob,chusma < Genoese ciüsma < Gr. κέλευσμα,canalha < Occitan canalha,[null]
cashew,anacardo < Lat. anacardium,caju < Tupi aka'yu,[null]
mushroom,seta < Uncertain origin or hongo'",cogumelo < Lat. cucumellum < cucuma,[null]
oleander,adelfa < Ar. دفلى diflà,aloendro  loendro < Lat. lorandrum,[null]
pumpkin,calabaza < Pre-Roman,abóbora < Lat. peporis,Port. cabaça means 'calabash
squid,calamar < Lat. calamarius,lula < Lat. lura,Port. also has calamar
date,fecha < Lat. facta,data < Lat. data,[null]
elsewhere  somewhere  nowhere,en otro lugar < Lat. in alter localis  en alguna parte < Lat. in aliquis unos pars  en ningún lugar < Lat. in nec unus localis,alhures < Provençal alhors  algures < Lat. + Provençal aliquod + hors  nenhures < Lat. + Provençal nec + hors,[null]
nobody,nadie < Lat. nati < natus,ninguém < Lat. nec + quem,[null]
lawn,césped < Lat. caespes,relvado  grama < Lat. relevare  < Lat. gramen,[null]
holiday  vacation,vacaciones < Lat. vacatio < vacationis,Férias < Lat. feriae,[null]
card,tarjeta < Fr. targe + diminutive suffix eta,cartão  carta < Gr. χάρτης < Lat. charta,[null]
beef steak,filete < Lat. filum,bife < Eng. beef steak,Port. also has filé
retaliation,retorsión < Lat. retorsus,retaliação < Lat. retalio,[null]
remorse,arrepentimiento < Lat. re + paenitere,remorso(s) < Lat. remorsus < remordere,Sp. also has remordimiento and Port. also has arrependimento
boot (car),maletero < Old Fr. + Sp. suffix malle + eta + ero,porta-bagagens < Lat. + Germanic portare + baugaz,Brazilian Port. tends to use porta-malas or bagageira
glove box (car),guantero < Frankish + Sp. suffix want + ero,porta-luvas < Lat. + Gothic/Suebian portare + lôfa,[null]
thin,delgado < Lat. delicātum,magro < Lat. macrum,Sp. magro means 'lean'  in reference to meat
surface  peel,superficie < Lat. superficĭes,tona < Celt. tondā/tunna,Port. also has superfície.
earring,pendiente < Lat. pendere,brinco < Lat. vinculum,[null]
watermelon,sandía < Ar. sindiyyah,melancia < balancia < Lat. bilanx,[null]
passion fruit,fruto de la pasión < Lat. fructa + passio,maracujá < Tupi moruku'ia,Sp. also has maracuyá
window,ventana < Lat. ventānam,janela < Lat. iānuellam,Lat. ventānam 'wind opening' < ventus 'wind'. Lat. iānuella is a diminutive of iānua 'door  opening' (the same root as Eng. January and janitor) < the name ianus  the God of gates or doors.
counter,ventanilla < Lat. ventānam + suffix 'illa',balcão < Germanic balkōn,Sp. balcón means 'balcony'
to disrupt  to get in the way (of someone/smthg),molestar  estorbar < Lat. molestus  exturbāre,atrapalhar < Low-Frankish trappa,[null]
to erase,borrar < Late Lat. burrāre,apagar < Lat. appācāre,Port. borrar means 'to smudge'; cf. Sp. borroso 'blurry'. Sp. apagar means 'to turn off' (a meaning that also exists in Port.  e.g. apagar a luz 'to turn off the light').
to forget,olvidar < Lat. oblītāre,esquecer < Lat. excadescere,Olvidar also exists in Port. (but is far less common). A learned cognate  obliterar  exists in both languages.
to retort  to strike back,contraatacar < Lat. + Ita. contra + attaccare,ripostar < Fr. riposter,[null]
to throw  to add,echar < Lat. iactare,atirar  pôr < Gothic/Suebian taíran  < Lat. ponere < pono,[null]
to smell,oler < Lat. olēre,cheirar < Lat. flagrāre,[null]
to snore,roncar < Lat. ronchus < Gr. ῥέγχος,ressonar Prefix + < Lat. re + sonare,Por. uses roncar for very loud snoring in humans or animal sounds i.e. pigs
slug,babosa < Lat. baba + osa,lesma < Lat. limax,[null]
simple,sencillo < Lat. singulus,simples < Lat. simplex,Sp. also has simple.
stage,escenario < Lat. scenarium,palco < Langobardic palk,[null]
fear,temor < Lat. timore,receio < Lat. re + celare,Port. also has temor.
harvest  crop,cosecha < Lat. collecta,seara < Celtic seni + aro,Port. colheita and recolha (both < Lat. collecta) generally refer to the harvest of crops  wine or data collection (i.e. online surveys  personal data).
black,negro < Lat. niger,preto < Lat. pressus 'compressed  dense',Port. also has negro and Sp. also has prieto. Use and connotation vary greatly (i.e. the use of preto to refer to people of African descent is considered a slur in Port. but the prieto in Sp. can often mean "dark"  "tan"  or "swarthy" in a similar fashion to moreno in both Sp. and Port.).
near,cerca < Lat. circa,perto perh. < Lat. * prettus  alteration of pressus 'compressed',[null]
far,lejos < Lat. laxius,longe < Lat. longe,[null]
spark,chispa (onomatopoeic),faísca < Germanic falwiskan,[null]
shard,esquirla < Lat. schidia  < Indo-European skei,lasca < *Proto-Germanic laska  or < *Lat. lesca,[null]
toy,juguete < Lat. + Sp. suffix iocus + ete,brinquedo < Proto-Germanic blinkaną  blīkaną,[null]
swine,cochino (onomatopoeic),suíno < Latin suīnus < Proto-Germanic swīną,[null]
dew,rocío < Lat. rosidus,orvalho < Gothic/Suebian 'ur' + 'vallen' < Proto-Germanic ūrą + fallaną,[null]
pen,bolígrafo < Lat. bulla + Gr. γράφειν,caneta < Lat. cannae + Por. eta,[null]
print (evidence),huella < Lat. follare,marca < Germanic marka,[null]
windrow,hilera < Lat. fīlum + Sp. ‑era,leira < Proto-Celtic ɸlāryo,[null]
yesterday,ayer < Lat. ad heri,ontem < Lat. ad noctem,[null]
to stay,quedarse < Lat. quietāre,ficar < Vulg.Lat. * figicāre,[null]
hairdresser,peluquero < peluque < French perruque "wig",cabeleireiro < cabeleira 'head of hair; wig' < cabelo < Lat. capillus,Port. peruca means 'wig'
chair,silla < Lat. sella,cadeira < Lat. * cathedra  perh. < Proto-Celtic * cathair,[null]
cup  mug,taza < Arabic ṭassa,chávena < Malay chãvan < Chinese < chã-kvãn  caneca < Germanic can,Brazilian Port. tends to use xícara < Sp. jícara < Nahuatl xīcalli.
fork,tenedor < Lat. + Sp. suffix tenēre + dor,garfo < either via Lat. graphium or < Fr. greffe,[null]
ladybird,mariquita < Lat. toponymic Maria + dimin.suffix 'quita',Joaninha < Lat. toponymic Iohanna + suffix 'inha',[null]
robin,petirrojo < Lat. pectus + russus,pisco < Lat < Gaulish pincio,[null]
peach,melocotón < Lat. malum cotonium,pêssego < Lat. [malum] persicum,[null]
pillowcase,funda < Lat. fundus,fronha < Celt. srogna,[null]
grasshopper,saltamontes < Lat. salto + mons,gafanhoto < Proto-Celtic gabalā,[null]
weasel  skunk,mofeta < Ita. moffetta,doninha < Lat. domina + Port. suffix inha,[null]
trousers,pantalón < Fr. pantalon < Ita. pantaleone,calças < Lat. calceu,[null]
doorbell,timbre(de la puerta) < Fr. timbre,campainha < Lat. campana,Spanish also has campanilla.
thunder,trueno < Lat. tonare,trovão < Lat. turbōnis,[null]
noise,ruido < Lat. rugitus,barulho < Gaulish bruge,Port. also has ruído  particularly for isolated/unexpected sounds or noises
handicapped,minusválido < Lat. minus + valere,Deficiente < Lat. deficiens,[null]
development,desarrollo < Lat. + prefix des rotulus,desenvolvimento < Lat. + des involvo,[null]
unavoidable,indefectible < Lat. + prefix in defectibĭlis,incontornável < Lat. + prefix in con+tornare,[null]
drug addict,drogadicto < Eng. drug addict,toxicodependente  drogado < Lat. toxicum + dependens  < Fr. drogue,Both Port. and Sp. have 'toxicomania' for drug addiction
budget,presupuesto < Lat. pre+sub+positus,orçamento < Uncertain  Ita. 'orza' or likely Frankish *lurz + Lat. orça[15] + mentum,[null]
