Model,Type of device,Brand,Release year,Operating System,OS version,Kernel,UI and version,Comment
Nokia N73,Smartphone,Nokia,2006,Symbian OS,9.1,[null],S60 3rd Edition  version 3,[null]
Nokia N75,Smartphone,Nokia,2007,Symbian OS,9.1,[null],S60 3rd Edition  version 3,[null]
Nokia N76,Smartphone,Nokia,2007,Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Nokia N77,Smartphone,Nokia,2007,Symbian OS,9.1,[null],S60 3rd Edition  version 3,[null]
Nokia N78,Smartphone,Nokia,2008,Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia N79,Smartphone,Nokia,2008,Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia N8,Smartphone,Nokia,2010,Symbian^3,9.5,EKA2,Symbian^3  version 5.2,[null]
Nokia N80,Smartphone,Nokia,2006,Symbian OS,9.1,[null],S60 3rd Edition  version 3,[null]
Nokia N81,Smartphone,Nokia,2007,Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Nokia N81 8GB,Smartphone,Nokia,2007,Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Nokia N82,Smartphone,Nokia,2007,Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Nokia N85,Smartphone,Nokia,2008,Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia N86 8MP,Smartphone,Nokia,2009,Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia N90,Smartphone,Nokia,2005,Symbian OS,8.1a,EKA1,S60 2nd Edition  Feature Pack 3  version 2.8,[null]
Nokia N91,Smartphone,Nokia,2006,Symbian OS,9.1,[null],S60 3rd Edition  version 3,[null]
Nokia N91 8GB,Smartphone,Nokia,2006,Symbian OS,9.1,[null],S60 3rd Edition  version 3,[null]
Nokia N92,Smartphone,Nokia,2006,Symbian OS,9.1,[null],S60 3rd Edition  version 3,[null]
Nokia N93,Smartphone,Nokia,2006,Symbian OS,9.1,[null],S60 3rd Edition  version 3,[null]
Nokia N93i,Smartphone,Nokia,2007,Symbian OS,9.1,[null],S60 3rd Edition  version 3,[null]
Nokia N95,Smartphone,Nokia,2007,Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Nokia N95 8GB,Smartphone,Nokia,2007,Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Nokia N96,Smartphone,Nokia,2008,Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia N97,Smartphone,Nokia,2009,Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[null]
Nokia N97 mini,Smartphone,Nokia,2009,Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[null]
Nokia X5-00,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia X5-01,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia X6-00,Smartphone,Nokia,2009,Symbian^1,9.4,EKA2,S60 5th Edition  version 5,First S60 capacative touchscreen
Nokia N-Gage,Smartphone and game console,Nokia,[null],Symbian OS,6.1,[null],S60 1st Edition  Feature Pack 1  version 1.2,[null]
Nokia N-Gage QD,Smartphone and game console,Nokia,[null],Symbian OS,6.1,[null],S60 1st Edition  Feature Pack 1  version 1.2,[null]
Panasonic X700,Smartphone,Panasonic,[null],Symbian OS,7.0s,[null],S60 2nd Edition  version 2,[null]
Panasonic X800,Smartphone,Panasonic,[null],Symbian OS,7.0s,[null],S60 2nd Edition  version 2,[null]
Samsung i8910,Smartphone,Samsung,[null],Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[null]
Samsung SGH-D720,Smartphone,Samsung,[null],Symbian OS,7.0s,[null],S60 2nd Edition  version 2,[null]
Samsung SGH-D728,Smartphone,Samsung,[null],Symbian OS,7.0s,[null],S60 2nd Edition  version 2,[null]
Samsung SGH-D730,Smartphone,Samsung,[null],Symbian OS,7.0s,[null],S60 2nd Edition  version 2,[null]
Samsung SGH-G810,Smartphone,Samsung,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Samsung SGH-i400,Smartphone,Samsung,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Samsung SGH-i408,Smartphone,Samsung,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Samsung SGH-i450,Smartphone,Samsung,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Samsung SGH-i458,Smartphone,Samsung,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Samsung SGH-i520,Smartphone,Samsung,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Samsung SGH-i550,Smartphone,Samsung,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Samsung SGH-i550w,Smartphone,Samsung,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Samsung SGH-i560,Smartphone,Samsung,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Samsung SGH-i568,Smartphone,Samsung,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Samsung SGH-i570,Smartphone,Samsung,[null],Symbian OS,9.1,[null],S60 3rd Edition  version 3,[null]
Samsung SGH-Z600,Smartphone,Samsung,[null],Symbian OS,7.0s,[null],S60 2nd Edition  version 2,[null]
Sendo X,Smartphone,Sendo,[null],Symbian OS,6.1,[null],S60 1st Edition  Feature Pack 1  version 1.2,[null]
Sendo X2,Smartphone,Sendo,[null],Symbian OS,6.1,[null],S60 1st Edition  Feature Pack 1  version 1.2,canceled  because Sendo went into administration
DoCoMo SH-07B,Feature phone,Sharp,[null],Symbian^2,9.5,EKA2,MOAP(S),[null]
Siemens SX1,Smartphone,Siemens,[null],Symbian OS,6.1,[null],S60 1st Edition  Feature Pack 1  version 1.2,[null]
Sony Ericsson G700,Smartphone,Sony Ericsson,[null],Symbian OS,9.1,[null],UIQ 3.0,[null]
Sony Ericsson G900,Smartphone,Sony Ericsson,[null],Symbian OS,9.1,[null],UIQ 3.0,[null]
Sony Ericsson M600,Smartphone,Sony Ericsson,[null],Symbian OS,9.1,[null],UIQ 3.0,[null]
Sony Ericsson P800,Smartphone,Sony Ericsson,[null],Symbian OS,7.0,[null],UIQ 2.0,First model with UIQ 2.0
Sony Ericsson P900,Smartphone,Sony Ericsson,[null],Symbian OS,7.0,[null],UIQ 2.1,[null]
Sony Ericsson P910,Smartphone,Sony Ericsson,[null],Symbian OS,7.0,[null],UIQ 2.1,[null]
Sony Ericsson P990,Smartphone,Sony Ericsson,[null],Symbian OS,9.1,[null],UIQ 3.0,First model with UIQ 3.0
Sony Ericsson P1,Smartphone,Sony Ericsson,[null],Symbian OS,9.1,[null],UIQ 3.0,[null]
Sony Ericsson W950,Smartphone,Sony Ericsson,[null],Symbian OS,9.1,[null],UIQ 3.0,[null]
Sony Ericsson W960,Smartphone,Sony Ericsson,[null],Symbian OS,9.1,[null],UIQ 3.0,[null]
Sony Ericsson Satio,Smartphone,Sony Ericsson,[null],Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[null]
Sony Ericsson Vivaz,Smartphone,Sony Ericsson,[null],Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[null]
Sony Ericsson Vivaz Pro,Smartphone,Sony Ericsson,[null],Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[null]
