Engine,Origin,Designer,Vehicle,Use,Propellant,Specific impulse (s),Thrust (N),Mass (kg),Thrust:weight ratio,Chamber pressure (bar),Oxidiser:fuel ratio
LE-7A,[null],Mitsubishi JAXA,H-IIA<br />H-IIB,1st,[[Liquid hydrogen|LH2]] / LOX,<ref name="LE-7A"></ref> (SL)<ref name="LE-7A" />,(SL),[null],[null],[null],[null]
last=Aerospace|first=Firefly|website=www.fireflyspace.com|language=en|access-date=2018-09-24|archive-url=https://web.archive.org/web/20141006064518/http://www.fireflyspace.com/vehicles/firefly-a|archive-date=2014-10-06|url-status=dead}}</ref>,[null],Firefly Aerospace,Alpha,2nd,RP-1 / LOX,[null],[null],[null],[null],[null],[null]
Merlin 1D FT,[null],SpaceX,Falcon 9 FT Falcon Heavy,1st,RP-1 / LOX,[null],<ref name="Merlin 1D Full Thrust"></ref> (SL)<ref name="Merlin 1D Full Thrust" />,[null],<ref name="Merlin 1D Full Thrust" />,[null],[null]
Merlin Vacuum 1D,[null],SpaceX,Falcon 9 Falcon Heavy,2nd,RP-1 / LOX,<ref name="Merlin Vacuum 1D"></ref>,<ref name="Merlin Vacuum 1D" />,[null],[null],[null],[null]
Mira (LM10),[null],Avio,Vega E<ref name="LM10Mira"></ref>,3rd<ref name="LM10Mira"></ref>,[[Liquid methane|CH4]] / LOX<ref name="LM10Mira"></ref>,<ref name="LM10Mira"></ref>,<ref name="LM10Mira"></ref>,<ref name="LM10Mira"></ref>,<ref name="LM10Mira"></ref>,[null],<ref name="LM10Mira"></ref>
NewtonThree,[null],Virgin Galactic,LauncherOne,Booster,RP-1 / LOX,[null],<ref name="virgingalactic1"></ref>,[null],[null],[null],[null]
NewtonFour,[null],Virgin Galactic,LauncherOne,2nd,RP-1 / LOX,[null],<ref name="virgingalactic1"/>,[null],[null],[null],[null]
NK-33A (AJ26-62) 11Д111 / 14Д15,[null],JSC Kuznetsov,Antares 100 Soyuz-2-1v,1st,RP-1 / LOX,<ref name="NK33"></ref> (SL),(SL),[null],[null],[null],[null]
P80<ref name="AvioVegaLeaflet"></ref><ref name="ESAflightVV01"></ref><ref name="ELV"></ref>,[null],[null],Vega,1st,HTPB,[null],[null],with fuel,[null],[null],[null]
P120C<ref name="P120Ctestfire">Press release: Successful first test firing for the P120C solid rocket motor for Ariane 6 and Vega-C</ref>,[null],[null],Ariane 6 Vega-C,Booster  1st,HTPB<ref>Powerful new European solid-fueled rocket motor aces first test-firing</ref>,<ref name="P120Ctestfire" />,<ref name="P120Ctestfire" />,with fuel<ref name="P120Ctestfire" />,[null],[null],[null]
P230,[null],SNPE and Avio Spa (Italy),Ariane 5,Booster,HTPB,<ref name="P230"></ref> (SL),(SL),with fuel<ref name="P230" />,[null],[null],[null]
S139,[null],SDSC,PSLV,1st,HTPB,<ref name="PSLV-1"></ref>,[null],with fuel,[null],[null],[null]
Raptor<ref name="SpaceX Raptor"/>,[null],SpaceX,Starship,1st  2nd,[[Liquid methane|CH4]] / LOX,<ref name=youtube-makinglifemulti></ref> (SL),(SL),(goal)<ref name="tweet15Oct19">Elon Musk on Twitter: Max thrust version of Raptor should achieve true T/W > 170. Target is 1.5 ton engine with >260 t-F. Max Isp version should achieve ~380 sec  but T/W probably <120 due to big nozzle. These are just guesses for now.</ref>,(goal)<ref name="tweet15Oct19"/>,<ref name=":0"></ref>,<ref name="DRAFT_EA-201908"></ref>
Raptor Vacuum<ref name="SpaceX Raptor"></ref>,[null],SpaceX,Starship,2nd,[[Liquid methane|CH4]] / LOX,+<ref name="nsf20180809"> </ref>,<ref name="youtube-makinglifemulti" />,(goal)<ref name="tweet15Oct19"/>,(goal)<ref name="tweet15Oct19"/>,<ref name=":0" />,<ref name="DRAFT_EA-201908"/>
RD-0124 14Д23,[null],KBKhA,Soyuz-2.1b Soyuz-2-1v Angara,2nd  3rd,RP-1 / LOX,<ref name="RD-0124"></ref>,[null],[null],[null],[null],[null]
RD-0146D,[null],KBKhA,Angara,Upper,[[Liquid hydrogen|LH2]] / LOX,website=www.khrunichev.ru|access-date=2019-07-27}}</ref>,[null],[null],[null],[null],[null]
RD-107A 14Д22,[null],NPO Energomash,Soyuz-FG Soyuz-2,1st,RP-1 / LOX,<ref name="RD-107A and RD-108A"></ref> (SL),(SL),[null],[null],[null],[null]
RD-108A 14Д21,[null],NPO Energomash,Soyuz-FG Soyuz-2,2nd,RP-1 / LOX,<ref name="RD-107A and RD-108A" /> (SL),(SL),[null],[null],[null],[null]
RD-171M11Д520,[null],NPO Energomash,Zenit-2M Zenit-3SL Zenit-3SLB Zenit-3SLBF Soyuz-5,1st,RP-1 / LOX,<ref name="RD-171M"></ref> (SL),(SL),[null],[null],[null],[null]
RD-180,[null],NPO Energomash,Atlas V Atlas III,1st,RP-1 / LOX,<ref name="RD-180"></ref> (SL),(SL),[null],[null],[null],[null]
RD-181,[null],NPO Energomash,Antares 200,1st,RP-1 / LOX,<ref>http://spaceflight101.com/spacerockets/antares-200-series/</ref> (SL),(SL),[null],[null],[null],[null]
RD-191,[null],NPO Energomash,Angara,1st,RP-1 / LOX,<ref name="RD-191"></ref> (SL),(SL),[null],[null],[null],[null]
RD-193,[null],NPO Energomash,Soyuz-2-1v,1st,RP-1 / LOX,<ref name="RD-193 Engine"></ref>,(SL),[null],[null],[null],[null]
RD-276 14Д14М,[null],NPO Energomash,Proton-M,1st,[[Dinitrogen tetroxide|N2O4]] / UDMH,<ref name="RD-276"></ref> (SL),(SL),[null],[null],[null],[null]
RD-8 11D513,[null],Pivdenne/Pivdenmash,Zenit,2nd vernier,RP-1 / LOX,[null],[null],[null],[null],[null],[null]
RD-801,[null],Pivdenne/Pivdenmash,Mayak,1st,RP-1 / LOX,[null],, 1.198.000 (SL),[null],[null],[null],[null]
RD-805 (RD-802),[null],Pivdenne/Pivdenmash,[null],Upper,RP-1 / LOX,[null],[null],[null],[null],[null],[null]
RD-809 (RD-809M),[null],Pivdenne/Pivdenmash,Antares,Upper,RP-1 / LOX,[null],[null],[null],[null],[null],[null]
RD-809K,[null],Pivdenne/Pivdenmash,Mayak,Upper,RP-1 / LOX,[null],[null],[null],[null],[null],[null]
RD-810,[null],Pivdenne/Pivdenmash,Mayak  Zenit,1st,RP-1 / LOX,[null],1.876.000 (SL),[null],[null],[null],[null]
RD-843,[null],Pivdenne/Pivdenmash,Vega,upper,[[Dinitrogen tetroxide|N2O4]] / UDMH,[null],[null],[null],[null],[null],[null]
RD-861K,[null],Pivdenne/Pivdenmash,(Cyclone-4M),3rd,[[Dinitrogen tetroxide|N2O4]] / UDMH,[null],[null],[null],[null],[null],[null]
Reaver 1<ref name=":1" />,[null],Firefly Aerospace,Alpha,1st,RP-1 / LOX,[null],[null],[null],[null],[null],[null]
RL-10A-4-2<ref name=":2"></ref>,[null],Aerojet Rocketdyne,Atlas IIIB Atlas V,Upper,[[Liquid hydrogen|LH2]] / LOX,[null],[null],[null],[null],[null],[null]
RL-10B-2<ref name=":2" />,[null],Aerojet Rocketdyne,Delta III Delta IV SLS,Upper,[[Liquid hydrogen|LH2]] / LOX,[null],[null],[null],[null],[null],[null]
RL-10C-1<ref name=":2" />,[null],Aerojet Rocketdyne,Delta III Delta IV SLS  Vulcan,Upper,[[Liquid hydrogen|LH2]] / LOX,[null],[null],[null],[null],[null],[null]
RS-25,[null],Rocketdyne,Space Shuttle SLS,1st,[[Liquid hydrogen|LH2]] / LOX,(SL),(SL)<ref name="aerojet">Aerojet Rocketdyne  RS-25 Engine (accessed July 22  2014)</ref>,[null],[null],[null],[null]
RS-68A,[null],Rocketdyne,Delta IV Delta IV Heavy,1st,[[Liquid hydrogen|LH2]] / LOX,<ref name="RS-68A"></ref> (SL),(SL),[null],[null],date=June 2017}},[null]
Rutherford,[null],Rocket Lab,Electron,1st,RP-1 / LOX,[null],(SL),[null],[null],[null],[null]
Rutherford Vacuum,[null],Rocket Lab,Electron,2nd,RP-1 / LOX,[null],[null],[null],[null],[null],[null]
S200,[null],SDSC,GSLV Mk III,Booster,HTPB,<ref name="isrolvm3"></ref>,<ref name="isros200"></ref><ref name="dnai3sb"></ref><ref></ref>,with fuel<ref name="isrolvm3" />,[null],[null],[null]
SCE-200,[null],LPSC,GSLV Mk III ULV,Upper  main,RP-1 / LOX,(SL),(SL),[null],[null],[null],[null]
SLS Solid Rocket Booster,[null],Orbital ATK,SLS,Booster,PBAN,[null],[null],with fuel,[null],[null],[null]
SLV-1,[null],Godrej & Boyce,PSLV,Booster,HTPB,<ref name="SLV-1"></ref>,[null],with fuel,[null],[null],[null]
SRB-A,[null],IHI Aerospace JAXA,H-IIA,Booster,HTPB,<ref name="SRB-A"></ref>,[null],with fuel,[null],[null],[null]
SRB-A3,[null],IHI Aerospace JAXA,H-IIB Epsilon,Booster,BP-207J<ref name="SRB-A3"></ref>,<ref name="SRB-A3" />,(SL),with fuel,[null],[null],[null]
TQ-12<ref>“天鹊”80吨液氧甲烷发动机100%推力100秒试车圆满成功</ref>,[null],Landspace,ZQ-2,1st,[[Liquid methane|CH4]] / LOX,[null],(SL),[null],[null],[null],[null]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Vikas (rocket engine),[null],LPSC,[null],2nd  main  booster,[[Dinitrogen tetroxide|N2O4]] / UDMH,[null],–804.500 –756.500 (SL),[null],[null],–58.5,[null]
Vinci,[null],Snecma,Ariane 6,Upper,[[Liquid hydrogen|LH2]] / LOX,<ref name="Vinci_Astronautix"></ref>,[null],[null],[null],[null],[null]
Vulcain 2,[null],Snecma,Ariane 5,1st,[[Liquid hydrogen|LH2]] / LOX,<ref name="Vulcain2_Astrium"></ref> (SL)<ref name="Vulcain2_Astronautix"></ref>,<ref name="Vulcain2_Astrium" /> (SL)<ref name="Vulcain2_Astronautix" />,<ref name="Vulcain2_Astrium" />,[null],<ref name="Vulcain2_Astrium" />,[null]
YF-100,[null],AALPT,[null],Booster  1st,RP-1 / LOX,<ref name=spacepac></ref> (SL),(SL),[null],[null],[null],[null]
YF-115,[null],AALPT,[null],2nd,RP-1 / LOX,[null],[null],[null],[null],[null],[null]
YF-21B,[null],AALPT,[null],Booster  1st,[[Dinitrogen tetroxide|N2O4]] / UDMH,(SL)<ref name="casc-lm3a-2011"></ref>,(SL)<ref name="casc-lm3a-2011" />,[null],[null],[null],[null]
YF-21C,[null],AALPT,[null],1st,[[Dinitrogen tetroxide|N2O4]] / UDMH,(SL)<ref name="casc-lm3a-2011"></ref>,(SL)<ref name="casc-lm3a-2011" />,[null],[null],[null],[null]
YF-25,[null],AALPT,[null],Booster,[[Dinitrogen tetroxide|N2O4]] / UDMH,(SL)<ref name="casc-lm3a-2011"></ref>,(SL)<ref name="casc-lm3a-2011" />,[null],[null],[null],[null]
YF-22B,[null],AALPT,[null],2nd,[[Dinitrogen tetroxide|N2O4]] / UDMH,<ref name="casc-lm3a-2011" />,[null],[null],[null],[null],[null]
YF-22C,[null],AALPT,[null],2nd,[[Dinitrogen tetroxide|N2O4]] / UDMH,<ref name="casc-lm3a-2011" />,[null],[null],[null],[null],[null]
YF-22D,[null],AALPT,[null],2nd,[[Dinitrogen tetroxide|N2O4]] / UDMH,<ref name="casc-lm3a-2011" />,[null],[null],[null],[null],[null]
YF-22E,[null],AALPT,[null],2nd,[[Dinitrogen tetroxide|N2O4]] / UDMH,<ref name="casc-lm3a-2011" />,[null],[null],[null],[null],[null]
YF-40,[null],AALPT,[null],3rd,[[Dinitrogen tetroxide|N2O4]] / UDMH,[null],[null],[null],[null],[null],[null]
YF-50D,[null],AALPT,[null],Upper,[[Dinitrogen tetroxide|N2O4]] / UDMH,[null],[null],[null],[null],[null],[null]
YF-73,[null],AALPT,Long March 3,3rd,[[Liquid hydrogen|LH2]] / LOX,[null],[null],[null],[null],[null],[null]
YF-75,[null],AALPT,[null],3rd,[[Liquid hydrogen|LH2]] / LOX,<ref name="casc-lm3a-2011" />,[null],[null],[null],[null],[null]
YF-75D,[null],AALPT,Long March 5,2nd,[[Liquid hydrogen|LH2]] / LOX,[null],[null],[null],[null],[null],[null]
YF-77,[null],AALPT,Long March 5,1st,[[Liquid hydrogen|LH2]] / LOX,(SL),(SL),[null],[null],[null],[null]
Zefiro 9A,[null],Avio,Vega,3rd,Solid,[null],[null],[null],[null],[null],[null]
Zefiro 23,[null],Avio,Vega,2nd,Solid,[null],(SL),[null],[null],[null],[null]
