Application,Latest release date <br />and version,Developed by,Platforms,Mainly Used For,License
Mudbox,2018-03-14<br />2018.2,Autodesk,Mac OS X  Microsoft Windows  Linux,Lighting  Sculpting (the deformation of the model),[null]
POV-Ray,2013-11-09 <br />v3.7.0,The POV-Team,Mac OS X  Microsoft Windows  Linux  AmigaOS,Lighting  Visual 3D effects,[null]
PTC Creo (formerly Pro/Engineer),? <br />v 4.0,Parametric Technology Corporation,Microsoft Windows  HP-UX  Unix,Modeling  Computer Aided Design,[null]
Remo 3D,2020-01-10 <br />v 2.9.1,Remograph,Microsoft Windows  Linux,Modeling  Virtual Reality  Real-time modeling  Video Game Creation  Computer Aided Design,[null]
Rhinoceros 3D,2018-02-06 <br />v 6.0,McNeel,Microsoft Windows  Mac OS X in beta,Modeling  Computer Aided Design,[null]
Shade 3D,2015-03-20 <br />v 15.1,Shade3D,Mac OS X  Microsoft Windows,Modeling  Rendering  Animation,[null]
Silo,2018 <br />v 2.5.3,Nevercenter,Mac OS X  Microsoft Windows,Modeling,[null]
SketchUp Pro,website=help.sketchup.com|access-date=2018-05-28}}</ref><br />v 19.0.685 (Win64) v 16.1.1450 (Win32) <br />v 19.1.173 (Mac64),Trimble Navigation,Mac OS X  Microsoft Windows,Modeling  Computer Aided Design,[null]
Solid Edge,2018-06-? <br />ST10,Siemens PLM Software,Microsoft Windows,Computer Aided Design,[null]
solidThinking Evolve,?-? <br />v 9.0,solidThinking,Mac OS X  Microsoft Windows,Modeling,[null]
SolidWorks,2018-11-16 <br />v SolidWorks 2019 SP0.0,Dassault Systèmes,Microsoft Windows,Computer Aided Design,[null]
SpaceClaim,2018-01 <br />v 7.12,SpaceClaim Corporation,Microsoft Windows,Computer Aided Design,[null]
E-on Vue,2017 <br />v 2016 R5,E-on Software,Mac OS X  Microsoft Windows,Animation  Landscape Modeling  Lighting,[null]
Verto Studio 3D,2018-05-06 <br />v2.3.8,Michael L. Farrell,Mac OS X  iOS,Mobile Modeling  Texture Mapping  Lighting,[null]
Wings 3D,2019-04-12 <br />v 2.2.4,Dan Gudmundsson (maintainer),Mac OS X  Microsoft Windows  BSD  Linux,Modeling  Sculpting (the deformation of the model)  UV mapping,[null]
ZBrush,2019-03-06 <br />v 2019,Pixologic,Mac OS X  Microsoft Windows,Modeling  Texturing  Lighting  Sculpting (the deformation of the model)  Rendering,[null]
