FirstClass,[null],[null],[null],[null],[null],[null],[null]
Gordano Messaging Suite,[null],[null],[null],[null],[null],[null],PLAIN  LOGIN  CRAM-MD5<ref name="CRAMMD5Unsecured"/>  DIGEST-MD5<ref name="DIGESTMD5Unsecured"/>  APOP  ODBC  Active Directory  NT Domain
GroupWise,[null],[null],[null],[null],[null],[null],eDirectory  Any LDAPv3-compliant source
Halon,[null],[null],[null],[null],[null],[null],Many mechanism (SMTP callout  Dovecot SASL  REST  etc.) via script.<ref></ref>
Haraka,[null],[null],[null],[null],[null],[null],Proxy to other server  any other mechanism via AUTH plugins.
IceWarp Mail Server,[null],[null],[null],[null],[null],[null],PLAIN  LOGIN  CRAM-MD5<ref name="CRAMMD5Unsecured"/>  NTLM
Ipswitch IMail Server,[null],[null],[null],[null],[null],[null],Active Directory  Windows authentication  CRAM-MD5<ref name="CRAMMD5Unsecured"/>  PLAIN  LOGIN
Kolab,[null],[null],[null],[null],[null],[null],Kolab employs Cyrus and Postfix and thus supports all Cyrus SASL authentication methods and X.509 PKI auth via STARTTLS and EXTERNAL.
Mailsite,[null],[null],[null],[null],[null],[null],NT Domain  Active Directory  PLAIN  LOGIN  NTLM  SCRAM-MD5  CRAM-MD5<ref name="CRAMMD5Unsecured"/>
Mailtraq,[null],[null],[null],[null],[null],[null],NT Domain  Active Directory  Local Directory
Mercury Mail Transport System,[null],[null],[null],[null],[null],[null],Internal  LOGIN  PLAIN  CRAM-MD5<ref name="CRAMMD5Unsecured"/>  Netware  LDAP?  partial NT Domain
Microsoft Exchange Server,[null],[null],[null],[null],[null],[null],Active Directory  LOGIN <ref></ref> NTLM
NetMail,[null],[null],[null],[null],[null],[null],eDirectory  LDAP
Oracle Communications Messaging Server,[null],[null],[null],[null],[null],[null],Plain  Login  CRAM-MD5<ref name="CRAMMD5Unsecured"/>  DIGEST-MD5<ref name="DIGESTMD5Unsecured"/>  Certificate
OpenSMTPD,[null],[null],[null],[null],[null],[null],By default PLAIN and LOGIN over SSL only  Certificates  bsd_auth and PAM. Supports adding new authentication mechanisms through custom backends.
Postfix,[null],[null],[null],[null],[null],[null],Supports all Cyrus SASL authentication methods except for APOP.
Qpopper,[null],[null],[null],[null],[null],[null],Pluggable Authentication Modules  GSSAPI  CRAM-MD5<ref name="CRAMMD5Unsecured"/>  DIGEST-MD5<ref name="DIGESTMD5Unsecured"/>  APOP  PLAIN  LDAP  CMU SASL library  Kerberos
qmail,[null],[null],[null],[null],[null],[null],Works with any checkpassword utility. The original supports only LOGIN and PLAIN. Alternate checkpassword utilities support authentication against PAM  LDAP  and databases.
Scalix,[null],[null],[null],[null],[null],[null],Internal  LOGIN  PLAIN  X.500 (DAP)  LDAP  OpenLDAP  Active Directory  eDirectory  Kerberos  etc.
Sendmail,[null],[null],[null],[null],[null],[null],Supports all Cyrus SASL authentication methods except for APOP. Also supports X.509 PKI auth via STARTTLS and EXTERNAL.
WinGate,[null],[null],[null],[null],[null],[null],NT Domain  Active Directory  CRAM-MD5<ref name="CRAMMD5Unsecured"/>  SASL PLAIN  SASL LOGIN
Zarafa,[null],[null],[null],[null],[null],[null],PLAIN  LOGIN using internal backends: Internal  Active Directory  any LDAP-compatible source  Unix
Zentyal,[null],[null],[null],[null],[null],[null],Active Directory using Dovecot SASL mechanisms
Zimbra,[null],[null],[null],[null],[null],[null],Internal  LDAP  Open LDAP  Active Directory
Mail server,SMTP AUTH,POP before SMTP,APOP,Filesystem,Database,LDAP,Other
