Itanium (IA-64),64,[null],2001,[null],Register Register,EPIC,128,Fixed (128 bit bundles with 5 bit template tag and 3 instructions  each 41 bit long),Condition register,Bi (selectable),Intel Virtualization Technology,[null],[null]
M32R,32,[null],1997,3,Register Register,RISC,16,Variable (16- or 32-bit),Condition register,Bi,[null],[null],[null]
Mico32,32,[null],2006,3,Register Register,RISC,32<ref></ref>,Fixed (32-bit),Compare and branch,Big,User-defined instructions,<ref></ref>,[null]
MIPS,64 (32→64),6<ref>MIPS64 Architecture for Programmers: Release 6</ref><ref>MIPS32 Architecture for Programmers: Release 6</ref>,1981,1–3,Register Register,RISC,4–32 (including "zero"),Fixed (32-bit),Condition register,Bi,MDMX  MIPS-3D,[null],<ref>MIPS Open</ref>
MMIX,64,[null],1999,3,Register Register,RISC,256,Fixed (32-bit),[null],Big,[null],[null],[null]
NS320xx,32,[null],1982,5,Memory Memory,CISC,8,Variable Huffman coded  up to 23 bytes long,Condition code,Little,BitBlt instructions,[null],[null]
OpenRISC,32  64,1.3<ref>OpenRISC Architecture Revisions</ref>,2010,3,Register Register,RISC,16 or 32,Fixed,[null],[null],[null],[null],[null]
PA-RISC (HP/PA),64 (32→64),2.0,1986,3,Register Register,RISC,32,Fixed (32-bit),Compare and branch,Big → Bi,MAX,[null],[null]
PDP-8<ref></ref>,12,[null],1966,[null],Register Memory,CISC,1 accumulator 1 multiplier quotient register,Fixed (12-bit),Condition register Test and branch,[null],EAE(Extended Arithmetic Element),[null],[null]
PDP-11,16,[null],1970,3,Memory Memory,CISC,8 (includes stack pointer  though any register can act as stack pointer),Fixed (16-bit),Condition code,Little,Floating Point  Commercial Instruction Set,[null],[null]
POWER  PowerPC  Power ISA,32/64 (32→64),3.0B<ref></ref>,1990,3,Register Register,RISC,32,Fixed (32-bit)  Variable,Condition code,Big/Bi,AltiVec  APU  VSX  Cell,[null],[null]
RISC-V,32  64  128,2.2<ref></ref>,2010,3,Register Register,RISC,32 (including "zero"),Variable,Compare and branch,Little,[null],[null],[null]
RX,64/32/16,[null],2000,3,Memory Memory,CISC,4 integer + 4 address,Variable,Compare and branch,Little,[null],[null],[null]
S+core,16/32,[null],2005,[null],[null],RISC,[null],[null],[null],Little,[null],[null],[null]
SPARC,64 (32→64),OSA2017<ref>Oracle SPARC Processor Documentation</ref>,1985,3,Register Register,RISC,32 (including "zero"),Fixed (32-bit),Condition code,Big → Bi,VIS,[null],<ref>SPARC Architecture License</ref>
SuperH (SH),32,[null],1994,2,Register Register Register Memory,RISC,16,Fixed (16- or 32-bit)  Variable,Condition code (single bit),Bi,[null],[null],[null]
System/360 System/370 z/Architecture,64 (32→64),[null],1964,2 (most) 3 (FMA  distinct operand facility) 4 (some vector inst.),Register Memory Memory Memory Register Register,CISC,16,Variable (16-  32-  or 48-bit),Condition code  compare and branch,Big,[null],[null],[null]
Transputer,32 (4→64),[null],1987,1,Stack machine,MISC,3 (as stack),Variable (8 ~ 120 bytes),Compare and branch,Little,[null],[null],[null]
VAX,32,[null],1977,6,Memory Memory,CISC,16,Variable,Compare and branch,Little,[null],[null],[null]
Z80,8,[null],1976,2,Register Memory,CISC,17,Variable (8 to 32 bits),Condition register,Little,[null],[null],[null]
Archi- tecture,Bits,Version,Intro- duced,Max # operands,Type,Design,Registers (excluding FP/vector),Instruction encoding,Branch evaluation,Endian-<br>ness,Extensions,Open,Royalty free
