[null],Selection editing,Layers,Alpha Channel,Histogram,Scripting,HDR,Retouching,Resizing,Noise removal,Lens correction,Sized Printing,Sharpening,Color correction,Image library,Plug-in support<ref name="feat_1">External plug-ins may allow the program to perform some tasks  such as noise reduction or lens distortion  that could not otherwise be done.</ref>,Non-destructive editing
Chasys Draw IES,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
CinePaint,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
CodedColor PhotoStudio Pro,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Corel PaintShop Pro,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Corel Painter,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Corel Photo-Paint,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
darktable,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Deluxe Paint*,[null],<ref name="feat_3">There are two: the main page and the swap page.</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
DigiKam,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Erdas Imagine,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Fatpaint,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Fotografix,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
GIMP,[null],[null],[null],[null],[null],plug-in</ref>}},[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
GIMPshop,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
GraphicConverter,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
HDR PhotoStudio,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Helicon Filter,[null],<ref name="feat_4">Helicon Filter does not implement layers  but it can insert frames and editable text  and objects from one photo can be brushed into the main photo.</ref>,[null],[null],<ref name="feat_5">Although Helicon Filter does not support actual scripting  it is capable of storing and reusing sequences and settings of edits.</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
iPhoto*,[null],[null],[null],[null],<ref name="iPhoto_script">iPhoto can be scripted using Automator and AppleScript.</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
IrfanView,[null],[null],[null],[null],[null],[null],<ref name="IrfanView_retouching">IrfanView has basic retouching capabilities via the Paint plug-in that is bundled by default with the application.</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Iridient Developer,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Kolourpaint,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Krita,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
LiveQuartz,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
MacPaint*,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Microsoft Office Picture Manager*,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Microsoft Paint,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Microsoft Photo Editor*,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
mtPaint,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
OpenCanvas,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Paint.NET,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Paint Tool SAI,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
PC Paintbrush*,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Photogenics,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
PhotoLine,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
PhotoPerfect*,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Photos,[null],[null],[null],[null],<ref name="Photos_script">Photos can be scripted using Automator and AppleScript.</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Photo Raster,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Picasa*,[null],[null],[null],[null],[null],<ref name="feat_6">If images are perfectly aligned  Picasa can create a Multi-Exposure Collage which effectively makes a simple HDR with little customization  though brightness has to be corrected afterwards with no bit depth increase.</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
PicMaster,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
PixBuilder Photo Editor,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Pixelmator,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Pixia,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Project Dogwaffle,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
QFX,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
RawTherapee,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Serif PhotoPlus,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Side Effects Houdini,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Tux Paint,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
TVPaint,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Ulead PhotoImpact*,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Ultimate Paint*,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
WinImages,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Xara Photo & Graphic Designer,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
XnView,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
XPaint,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Zoner Photo Studio,[null],<ref name="feat_9">Zoner Photo Studio 11 supports one temporary layer.</ref>,[null],[null],<ref name="feat_8">Zoner Photo Studio does not actually support scripting  but it can store and reuse sequences of filters with preset parameters (Batch Filter).</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
