Seqrite Encryption Manager,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Sentry 2020,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Softraid / RAID C,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Svnd / Vnconfig,[null],[null],[null],[null],[null],<ref>optional by using -K OpenBSD Manual Pages: vnconfig(8)</ref>,[null],[null],[null],[null]
Symantec Endpoint Encryption,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Trend Micro Endpoint Encryption,[null],[null],[null],[null],[null],<ref></ref>,<ref></ref>,[null],[null],<ref></ref>
TrueCrypt,<br />(limited to one per<br />"outer" container),<ref name="ReferenceA"></ref>,[null],[null],<ref name="truecrypt.org"/><ref>Although each volume encrypted with TrueCrypt can only have one active master key  it is possible to access its contents through more than one header. Each header can have a different password and/or keyfiles if any (cf. TrueCrypt FAQ: Is there a way for an administrator to reset a volume password or pre-boot authentication password when a user forgets it (or loses a keyfile)?)</ref>,[null],[null],<ref name="TrueCrypt Foundation"/>,</ref> }},[null]
VeraCrypt,<br />(limited to one per<br />"outer" container),<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null]
CyberSafe Top Secret,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Name,Hidden containers,Pre-boot authentication,Single sign-on,Custom authentication,Multiple keys,Passphrase strengthening,Hardware acceleration,TPM,Filesystems,Two-factor authentication
