JNG,JPEG Network Graphics,[null],[null],.jng,image/x-jng,[null],[null]
JPEG,Joint Photographic Experts Group,Joint Photographic Experts Group,[null],.jpg  .jpeg  .jpe<br />(containers:<br />.jif  .jfif  .jfi),image/jpeg,Photographic images. Supported by most web browsers.,Expired (see also Forgent#JPEG)
JPEG 2000,Joint Photographic Experts Group 2000,Joint Photographic Experts Group,[null],.jp2  .j2c  .jpc <br />.j2k  .jpx,image/jp2,Photographic images  eventual replacement for JPEG.,Yes (no licence costs for part 1)
JPEG-LS,[null],Joint Photographic Experts Group,[null],.jls,[null],[null],[null]
JPEG-HDR,[null],Dolby Laboratories/BrightSide Technologies,JPEG,[null],[null],HDR format based on RGBE floating-point encoding and backward-compatible extensions to JFIF format; included in JPEG XT Part 2.,[null]
JPEG XT,[null],Joint Photographic Experts Group,[null],[null],[null],Backwards-compatible extension of the JPEG format for high bit depth and floating point HDR encoding of lossy and lossless images,[null]
JPEG XR / HD Photo,JPEG XR / HD Photo,Microsoft,[null],.wdp  .hdp  .jxr,image/vnd.ms-photo,TIFF-like container format with HDR encoding for photographic images,Yes (royalty-free)
J6I,[null],RICOH,JPEG,.j6i,[null],Used by RICOH DC-1/2,[null]
KDC,Kodak DC40/DC50 RAW,Kodak,TIFF,.kdc,[null],[null],[null]
KOA,[null],[null],[null],.koa <br />.gg (compressed),[null],Supported by Koala Paint,[null]
KIFF,Kt Interchange File Format,[null],[null],.kif  .kiff,[null],[null],[null]
KISS CEL,[null],[null],[null],.cel,[null],Supported by GIMP,[null]
Kodak TIFF extensions,[null],Kodak,TIFF,.tif,[null],[null],[null]
Kodak YCC,[null],Kodak,[null],.pcd,[null],[null],[null]
KQP,[null],Minolta,JPEG,.kqp,[null],[null],[null]
K25,Kodak DC25 RAW,Kodak,TIFF,.k25,[null],[null],[null]
Leaf Mosaic RAW,[null],[null],TIFF,.mos,[null],[null],[null]
LightStream Picture,[null],[null],[null],.lsp,[null],[null],[null]
Logluv TIFF,[null],Greg Ward,TIFF,[null],[null],Supported by Libtiff,[null]
Mac Paint,[null],[null],[null],.pnt  .mac,[null],[null],[null]
MDC,Minolta RD175 Format,Minolta,[null],.mdc,[null],[null],[null]
MET,OS/2 Metafile Format,[null],[null],.met,[null],Supported by SAS/GRAPH,[null]
MNG,Multiple-image Network Graphics,[null],PNG,.mng,video/x-mng,[null],[null]
MO:DCA,MO:DCA,IBM,[null],.mda  .ica  .mmr <br />.afp,image,IBM's Content Manager and Image Plus,[null]
MSP,Microsoft Paint,Microsoft,[null],.msp,[null],[null],[null]
MYD,Myd format,[null],[null],.myd,[null],[null],[null]
MYV,Myv vector format,[null],[null],.myv,[null],[null],[null]
NEF,Nikon RAW,Nikon,TIFF,.nef,[null],[null],[null]
MEF,Mamiya RAW,Mamiya,TIFF,.mef,[null],[null],[null]
Neochrome,[null],Dave Staugas,[null],.neo,[null],An application on Atari ST,[null]
MAG,MAKIchan Graphic loader,Woody-Rinn,[null],.mag,[null],Used by many old Japanese applications.,[null]
MAKI,MAKIchan net format,Woody-Rinn,[null],.mki,[null],[null],[null]
MIFF,Magick image file format,ImageMagick Studio,[null],.miff,[null],Supported by ImageMagick,[null]
MSA,Misachan File,Hirohumi Iguchi,[null],.msa,[null],Supported by old Japanese applications,[null]
MSL,Magick Scripting Language,ImageMagick Studio,[null],.msl,[null],Supported by ImageMagick,[null]
MVG,Magick Vector Graphics,ImageMagick Studio,[null],.mvg,[null],Supported by ImageMagick,[null]
MPC,Magick Persistent Cache image file format,ImageMagick Studio,[null],.mpc,[null],Supported by ImageMagick,[null]
MRW,Minolta RAW,Minolta,[null],.mrw,[null],[null],[null]
NSK-TIFF,NSK-TIFF,Nihon Shinbun Kyokai (日本新聞協会),TIFF,[null],[null],[null],[null]
OAZ,OAZ Fax,Oaz Communications,[null],.oaz,[null],Used by NetFax Manager,[null]
ODG,OpenDocument drawing,[null],[null],.odg,[null],[null],[null]
ORA,OpenRaster,freedesktop.org,OpenDocument/XML,.ora,[null],DrawPile  GIMP  Krita  MyPaint  Nathive  Pinta,[null]
ORF,Olympus RAW,Olympus,TIFF,.orf,[null],[null],[null]
ORTL,Ortelius file format,Mapdiva  LLC,[null],.ortl,[null],Vector image/map format; used by Ortelius,[null]
PAM,portable arbitrary map file format,[null],[null],.pam,image/x-portable-arbitrarymap,[null],[null]
Panasonic RAW,[null],Panasonic,TIFF,.raw  .rw2,[null],[null],[null]
PCIF,Polyomino Compressed Image Format,[null],[null],.pcf,[null],[null],[null]
PhaseOne P25/P30/P45 RAW,[null],Phase One,[null],.tif  .tiff,[null],[null],[null]
PictureGear Pocket Image,[null],[null],[null],.prc,[null],[null],[null]
PBM,Portable Bitmap File Format,[null],[null],.pbm,image/x-portable-bitmap,[null],[null]
PCD,Kodak ImagePac Photo CD,Kodak,[null],.pcd,image/jpcd,[null],[null]
PCF,Pixel Coordination Format,[null],[null],.pcf,image/pcf,[null],[null]
PCX,ZSoft PC Paintbrush File,ZSoft Corporation,[null],.pcx  .pcc  .dcx,image/x-pcx,Dated rle packed indexed image format  used in some early 3d shooting games like Unreal Tournament as it takes up very little space and is easy to decode.,[null]
PDF,Portable Document Format,Adobe Systems,[null],.pdf  .epdf,application/pdf,[null],[null]
PDN,Paint.NET Image,dotPDN LLC,[null],.pdn,[null],Preferred and supported by Paint.NET,[null]
PEF,PENTAX RAW,PENTAX,TIFF,.pef,[null],[null],[null]
PGF,Progressive Graphics File,xeraina GmbH,[null],.pgf,[null],Photographic images  eventual replacement for JPEG.,[null]
PGM,Portable Graymap File Format,[null],[null],.pgm,image/x-portable-graymap,[null],[null]
PGML,Precision Graphics Markup Language,Adobe Systems  IBM  Netscape  Sun Microsystems,[null],[null],[null],[null],[null]
Photochrome,[null],[null],[null],.pcs,[null],[null],[null]
PNM,Portable Anymap File Format,[null],[null],.pnm,image/x-portable-anymap,[null],[null]
PTX,Pentax RAW Bitmap Graphic,Pentax,[null],.ptx,[null],[null],[null]
Pi,[null],Yanagisawa,[null],.pi,[null],Used by some old Japanese applications.,[null]
PIC,Yanagisawa PIC,Yanagisawa,[null],.pic,[null],Used by many old Japanese applications.,[null]
PIC,DoGA PIC,Project Team DoGA,[null],.pic,[null],Used by DoGA CGA System.,[null]
PICT,Macintosh PICT Format,Apple Inc.,[null],.pict  .pic  .pct <br />.pct1  .pct2,image/pict,Metafile for Classic Mac OS  not meant for print publishing.,Likely expired
PICtor,[null],John Bridges  Doug Wolfgram,[null],.pic,[null],Supported by PCPaint,[null]
PIC2,[null],Yanagisawa,[null],.p2,[null],Supported by some old Japanese applications.,[null]
PLD,PhotoLine Document,Computerinsel GmbH,[null],.pld,application/pld,Native format of the PhotoLine image editing program.,[null]
PMP,[null],Sony,JPEG,.pmp,[null],Used by Sony Cyber-Shot,[null]
PNG,Portable Network Graphics,World Wide Web Consortium,[null],.png,image/png,W3C endorsed replacement for GIF. Supported by most web browsers.,[null]
PostScript,page description/scripting language  levels 1–3,Adobe,[null],.ps  .ps2  .ps3,[null],printing/publishing industry standard format,[null]
PPM,Portable Pixmap File Format,[null],[null],.ppm,image/x-portable-pixmap,Very easy to understand. Programs to analyze and write to this format are easily written.,[null]
PSD,Photoshop Document,Adobe Systems,[null],.psd  .psb  .pdb <br />.pdd,image/vnd.adobe.photoshop<ref></ref>,Used mainly for storing image manipulation & editing data.,[null]
PSP,Paint Shop Pro Document,Corel Corporation,[null],.psp  .tub <br />.pspimage,image/x-psp,Supported by Paint Shop Pro  GIMP,[null]
PSX TIM,[null],[null],[null],.tim,[null],[null],[null]
PSX TIM2,Sony PlayStation Tim2,Sony,[null],.tm2  .str,[null],Used by PlayStation 2,[null]
PXA,[null],[null],[null],.pxa,[null],Used by Pixia,[null]
QuickTime Image,[null],Apple Inc.,[null],.qtif  .qti  .qif,[null],[null],[null]
Q0,[null],[null],[null],.q0,[null],[null],[null]
Q4,XLD4,MAJYO,[null],.q4,[null],[null],[null]
RAD,[null],Gregory Ward Larson,[null],.rad,[null],Radiance,[null]
RAF,Fujifilm RAW,Fujifilm,[null],.raf,[null],[null],[null]
RGB,image/colourmap data in RGB format,[null],[null],.rgb,[null],[null],[null]
RGBA,image/colourmap data in RGB format  with Alpha channel,[null],[null],.rgba,[null],[null],[null]
RGBE,[null],Gregory Ward Larson,[null],.hdr,image/vnd.radiance,Radiance  most HDR imaging software,[null]
RHIF,Rhapsoft Image Format,Romain Piveteau,SQLite,.rhif,[null],LiveQuarz file format,[null]
R3D,RED REDCODE RAW,Red,[null],.r3d,[null],[null],[null]
SAI,[null],SYSTEMAX,[null],.sai,[null],Supported by PaintTool SAI,[null]
SCT,Scitex Continuous Tone Picture,[null],[null],.sct,[null],[null],[null]
SDA,[null],Sun Microsystems,[null],.sda,[null],Supported by StarOffice Draw 3–5,[null]
SDD,[null],Sun Microsystems,[null],.sdd,[null],Supported by StarOffice Draw 3–5,[null]
SFW,Seattle File Works image,Seattle File Works,JPEG (JFIF),.sfw  .pwp,[null],JPEG-converters sfwjpg and pwpjpg for Unix/Linux and Windows,[null]
SGB,[null],Sun Microsystems,[null],.sgb,[null],Supported by StarOffice Graphics 2,[null]
SGI,Silicon Graphics Image,[null],[null],.sgi  .rgb  .rgba <br />.bw  .int  .inta <br />.icon,[null],[null],[null]
Shockwave Director,[null],Adobe Systems,[null],.dir  .dcr  .dxr  .fgd,application/x-director,Used by Adobe Shockwave.,[null]
SHAPE,Dia Stencil,[null],SVG,.shape,[null],Used by Dia.,[null]
SK,[null],[null],[null],.sk,[null],Supported by Skencil,[null]
SketchUp Format,[null],[null],[null],.skp  .skb,[null],Supported by SketchUp,[null]
SML,Kivio stencil,[null],[null],.sml,[null],Supported by Kivio,[null]
SRF,Sony RAW File,Sony,TIFF,.srf  .sr2,[null],[null],[null]
SUN,Sun rasterfile,Sun Microsystems,[null],.sun  .ras  .rs  .im1 <br />.im8  .im24  .im32,[null],Supported by GIMP,[null]
STX,SBIG CCD camera ST-x,[null],[null],.stx  .st4  .st5 <br />.st6  .st7  .st8 <br />.st9,[null],[null],[null]
SView5 Graphics,[null],Andreas Kleinert,[null],.svg/.sgx,[null],Used by SView5-Library/SDK,[null]
SVG,Scalable Vector Graphics,World Wide Web Consortium,XML,.svg <br />.svgz (compressed),image/svg+xml,Scriptable vector image format; supported by major web browsers  occasionally via plug-in.,[null]
SWF,Shockwave Flash,Adobe Systems,[null],.swf,application/x-shockwave-flash,Supported by many web browsers via plug-in.,[null]
SXD,OpenOffice.org 1.0 drawing format,[null],[null],.sxd,[null],[null],[null]
TGA,Truevision Targa,Truevision Inc.,[null],.tga  .tpic,image/tga,Used by many 3D rendering applications and 3d games.,Yes?
TIFF,Tagged Image File Format,Adobe Systems,[null],.tiff  .tif,image/tiff,Document scanning and imaging format  also functions as a container.,[null]
TIFF/EP,Tag Image File Format / Electronic Photography,International Organization for Standardization,TIFF,.tiff  .tif,[null],[null],[null]
TIFF-FX,Tag Image File Format Fax eXtended,[null],TIFF,.tiff  .tif,image/tiff-fx,[null],[null]
Tiny Stuff,[null],David Mumper,[null],.tny  .tn1  .tn2  .tn3 <br />.tn4  .tn5  tn6,[null],An application on Atari ST,[null]
TLG5,[null],[null],[null],.tlg,[null],Used by KiriKiri,[null]
TLG6,[null],[null],[null],.tlg,[null],Used by KiriKiri,[null]
UFO,Ulead File for Objects,[null],[null],.ufo,[null],[null],[null]
VML,Vector Markup Language,Microsoft,XML,.htm  .html,application/vnd. openxmlformats-officedocument. vmlDrawing,Internet Explorer  Microsoft Office,[null]
WBMP,Wireless Application Protocol Bitmap Format,Open Mobile Alliance (formerly WAP Forum),[null],.wbmp  .wbm  .wbp,image/vnd.wap.wbmp,Used in WAP-pages,[null]
WebP,WebP image format,Google,[null],.webp,image/webp,Provides an alternative to JPEG  PNG and GIF with superior compression,Yes (royalty-free)
WinFax,[null],Symantec,[null],.wfx  fxs  fxo,[null],[null],[null]
WMF,Windows Metafile Format,Microsoft,[null],.wmf  .wmz,[null],[null],[null]
WordPerfect Graphics File,[null],[null],[null],.wpg,[null],[null],[null]
XAML,Extensible Application Markup Language,Microsoft,XML,.xaml,application/xaml+xml,Used by Windows Presentation Foundation and Microsoft Silverlight.,[null]
XAR,Xar,Xara,Xar (graphics),.xar,application/vnd.xara,Used by Xara Photo & Graphic Designer,[null]
XBM,X BitMap  colour variant of original black-and-white bitmap (bmp) format,[null],[null],.xbm  .bm <br />.icon  .bitmap,image/x-xbitmap,Used by many legacy Unix applications.,[null]
XCF,XCF  name derived from eXperimental Computing Facility,The GIMP Team,[null],.xcf <br />.xcfbz2 (compressed) <br />.xcfgz (compressed),application/x-gimp-image,Used by GIMP,[null]
XPM,X-Pixmap,[null],[null],.xpm  .pm,image/x-xpm,Used by many legacy Unix applications.,[null]
X3F,SIGMA RAW,SIGMA,[null],.x3f,[null],[null],[null]
XWD,xwud X11 window dumper/undumper screenshot image,[null],[null],.xwd  .x11,[null],Used by X Window System,[null]
XYZ,RPG Maker image file,ASCII,[null],.xyz,[null],RPG Maker,[null]
YCbCr,[null],[null],[null],.ycbcr,[null],[null],[null]
YCbCrA,[null],[null],[null],.ycbcra,[null],[null],[null]
YUV,[null],[null],[null],.yuv,[null],[null],[null]
ZDT,[null],[null],[null],.zdt,[null],Used by TECH Win,[null]
Format,Full name,Owner,Based Format,File extension,MIME type,Application,Patented
